Year_Month,Travel_Mode,Card_type,Trip
2016-11,Train,Sgl Trip Rail Child/Youth,51606
2016-12,Bus,Adult,12839969
2016-12,Bus,Adult Single Bus Trip 1,190339
2016-12,Bus,Adult Single Bus Trip 2,124517
2016-12,Bus,Adult Single Bus Trip 3,51178
2016-12,Bus,Child/Youth,1311601
2016-12,Bus,Child/Youth Single Bus Trip 1,65006
2016-12,Bus,Child/Youth Single Bus Trip 2,48328
2016-12,Bus,Child/Youth Single Bus Trip 3,15754
2016-12,Bus,Concession,1038399
2016-12,Bus,Employee,71339
2016-12,Bus,Free Travel,34095
2016-12,Bus,School Student,1067910
2016-12,Bus,Senior/Pensioner,4022430
2016-12,Ferry,Adult,1050663
2016-12,Ferry,Child/Youth,144692
2016-12,Ferry,Concession,27905
2016-12,Ferry,Employee,5970
2016-12,Ferry,Free Travel,2219
2016-12,Ferry,School Student,796
2016-12,Ferry,Senior/Pensioner,187261
2016-12,Ferry,Sgl Trip Ferry Adult,70707
2016-12,Ferry,Sgl Trip Ferry Child/Youth,16773
2016-12,Light rail,Adult,533991
2016-12,Light rail,Child/Youth,39398
2016-12,Light rail,Concession,24597
2016-12,Light rail,Free Travel,752
2016-12,Light rail,School Student,2109
2016-12,Light rail,Senior/Pensioner,122012
2016-12,Light rail,Sgl Trip LR Adult,2875
2016-12,Light rail,Sgl Trip LR Child/Youth,787
2016-12,Train,Adult,21532401
2016-12,Train,Child/Youth,1353758
2016-12,Train,Concession,1361789
2016-12,Train,Employee,285847
2016-12,Train,Free Travel,29099
2016-12,Train,School Student,404194
2016-12,Train,Senior/Pensioner,2773808
2016-12,Train,Sgl Trip Rail Adult,362922
2016-12,Train,Sgl Trip Rail Child/Youth,85766
2017-01,Bus,Adult,12658936
2017-01,Bus,Adult Single Bus Trip 1,182210
2017-01,Bus,Adult Single Bus Trip 2,116130
2017-01,Bus,Adult Single Bus Trip 3,46161
2017-01,Bus,Child/Youth,1405219
2017-01,Bus,Child/Youth Single Bus Trip 1,66323
2017-01,Bus,Child/Youth Single Bus Trip 2,53334
2017-01,Bus,Child/Youth Single Bus Trip 3,18050
2017-01,Bus,Concession,985862
2017-01,Bus,Employee,66458
2017-01,Bus,Free Travel,31281
2017-01,Bus,School Student,168257
2017-01,Bus,Senior/Pensioner,3752674
2017-01,Ferry,Adult,1164945
2017-01,Ferry,Child/Youth,217918
2017-01,Ferry,Concession,28552
2017-01,Ferry,Employee,5959
2017-01,Ferry,Free Travel,2234
2017-01,Ferry,School Student,139
2017-01,Ferry,Senior/Pensioner,220534
2017-01,Ferry,Sgl Trip Ferry Adult,76631
2017-01,Ferry,Sgl Trip Ferry Child/Youth,21171
2017-01,Light rail,Adult,313530
2017-01,Light rail,Child/Youth,33524
2017-01,Light rail,Concession,14678
2017-01,Light rail,Free Travel,394
2017-01,Light rail,School Student,323
2017-01,Light rail,Senior/Pensioner,63828
2017-01,Light rail,Sgl Trip LR Adult,1986
2017-01,Light rail,Sgl Trip LR Child/Youth,735
2017-01,Train,Adult,20689527
2017-01,Train,Child/Youth,1485300
2017-01,Train,Concession,1255327
2017-01,Train,Employee,259349
2017-01,Train,Free Travel,26745
2017-01,Train,School Student,67891
2017-01,Train,Senior/Pensioner,2566223
2017-01,Train,Sgl Trip Rail Adult,299852
2017-01,Train,Sgl Trip Rail Child/Youth,85208
2017-02,Bus,Adult,13182869
2017-02,Bus,Adult Single Bus Trip 1,167293
2017-02,Bus,Adult Single Bus Trip 2,104008
2017-02,Bus,Adult Single Bus Trip 3,39559
2017-02,Bus,Child/Youth,1166175
2017-02,Bus,Child/Youth Single Bus Trip 1,39460
2017-02,Bus,Child/Youth Single Bus Trip 2,26163
2017-02,Bus,Child/Youth Single Bus Trip 3,7942
2017-02,Bus,Concession,1240006
2017-02,Bus,Employee,69228
2017-02,Bus,Free Travel,33326
2017-02,Bus,School Student,2600682
2017-02,Bus,Senior/Pensioner,3857972
2017-02,Ferry,Adult,865014
2017-02,Ferry,Child/Youth,57121
2017-02,Ferry,Concession,23803
2017-02,Ferry,Employee,4826
2017-02,Ferry,Free Travel,1897
2017-02,Ferry,School Student,1914
2017-02,Ferry,Senior/Pensioner,169864
2017-02,Ferry,Sgl Trip Ferry Adult,56176
2017-02,Ferry,Sgl Trip Ferry Child/Youth,5700
2017-02,Light rail,Adult,545607
2017-02,Light rail,Child/Youth,32626
2017-02,Light rail,Concession,28344
2017-02,Light rail,Free Travel,697
2017-02,Light rail,School Student,6101
2017-02,Light rail,Senior/Pensioner,124005
2017-02,Light rail,Sgl Trip LR Adult,2500
2017-02,Light rail,Sgl Trip LR Child/Youth,428
2017-02,Train,Adult,21960594
2017-02,Train,Child/Youth,977309
2017-02,Train,Concession,1527275
2017-02,Train,Employee,287362
2017-02,Train,Free Travel,30092
2017-02,Train,School Student,1028738
2017-02,Train,Senior/Pensioner,2620981
2017-02,Train,Sgl Trip Rail Adult,288914
2017-02,Train,Sgl Trip Rail Child/Youth,45771
2017-03,Bus,Adult,15239178
2017-03,Bus,Adult Single Bus Trip 1,177223
2017-03,Bus,Adult Single Bus Trip 2,109926
2017-03,Bus,Adult Single Bus Trip 3,42288
2017-03,Bus,Child/Youth,1229286
